1833HK
2618HK
3690HK
4477JP
4689JP
6060HK
6301JP
9923HK
AAPL
ABBV
ACCD
ACHR
ACIC
ADBE
ADPT
ADSK
ADYENNA
ADYEY
AIRFP
ALLO
AMZN
ANSS
AONE
API
AQB
ARCT
ATAI
AVAV
BA
BABA
BEAM
BEKE
BFLY
BIDU
BILL
BLDE
BLI
BLKB
BMY
BNR
BYDDY
BZ
CAT
CDNA
CDXS
CERS
CGEN
CLLS
CMIIU
CMLF
CND
COIN
CRBU
CRSP
CRWD
CSTL
DDD
DE
DIS
DKNG
DNA
DOCU
DRNA
DSYFP
DSYSJ
DYNS
EDIT
EDR
ESLT
ETSY
EVGN
EXAS
EXPC
FATE
FB
FSLY
FTCH
GBTC
GENI
GH
GLBE
GLEO
GOOG
GRMN
GWRE
HDB
HEI
HO
HOFP
HON
HOOD
HUBS
HUYA
ICE
INCY
INTU
IONS
IOVA
IRDM
ISRG
JD
JOBY
KIND
KMTUY
KSPILI
KTOS
KVSB
LC
LHX
LMT
LPSN
LSPDCN
MASS
MCRB
MELI
MGA
MKFG
MKTX
MNDY
MSFT
MTLS
MTTR
MYNA
NET
NFLX
NIO
NIU
NNDM
NNOX
NRIX
NSTG
NTDOY
NTLA
NU
NVDA
NVS
NVTA
NXPI
OKTA
ONEM
ONVO
OPEN
PACB
PAGS
PATH
PCAR
PD
PDD
PFE
PHR
PINS
PLTR
PRLB
PRNT
PSNL
PSTG
PSTI
PTON
PYPL
QSI
RAVN
RBLX
REGN
RHHBY
ROKU
RPTX
RTP
RXRX
SCHW
SDGR
SE
SEER
SGFY
SHOP
SI
SKLZ
SLGC
SLGCW
SMFR
SNAP
SNOW
SNPS
SPCE
SPFR
SPLK
SPOT
SPR
SQ
SRNG
SRPT
SSYS
STNE
SURF
SYRS
TAK
TCEHY
TCSLI
TDOC
TDY
TEAM
TER
TMO
TOST
TREE
TRMB
TSLA
TSM
TSP
TTD
TWLO
TWOU
TWST
TWTR
TXG
U
VCYT
VEEV
VERV
VLD
VRSK
VRTX
VUZI
WDAY
WKHS
XLNX
XONE
XPEV
Z
ZM
ZY
